SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/8/15,Tomahawk,WV,Circle,High,5 minutes,"Spotted back in Tomahawk past Hedgesville. Hovers about 1,000' off the ground and has 2 bright large headlights. It is circle.",1,"January 16, 2015"
1/8/15,Fort Myers (near downtown),FL,Oval,High,5 seconds,Bright white light streaking across sky high rate of speed.,1,"January 9, 2015"
1/8/15,Labelle,FL,Unknown,High,1 second,"At approx. 23:00 on 01/08/2015, I heard a very loud boom that shook the the windows in my house.  I saw outside a bright light.",1,"January 16, 2015"
1/8/15,Butte,MT,,,45 minutes,((NUFORC Note:  No information provided by witness.  PD)),1,"January 16, 2015"
1/8/15,Hot Springs,MT,Circle,Mid,3 minutes,Reddish orange and red rotating lights rising from the direction on town would stop and go and change direction.,1,"January 9, 2015"
1/8/15,Wasilla,AK,Triangle,Mid,10 seconds,Triangle being followed by plane over KGB.,1,"January 16, 2015"
1/8/15,Twin City,GA,Light,Low,45 seconds,Slow blinking horizontal lights that disappeared over a field.,1,"January 9, 2015"
1/8/15,Indianapolis (northwest part),IN,Flash,High,3 seconds,Two intense flashes of light that looked liked transformers blowing.,1,"January 9, 2015"
1/8/15,Bandera,TX,Triangle,High,20 minutes,A hoard of UFOs flying with a triangle brings clouds in an instant.,1,"January 9, 2015"
1/8/15,Concord,VT,Unknown,Mid,1-2 minutes,"Golden orb light that becomes three, and then six lights hovering over the trees.",1,"January 9, 2015"
1/8/15,Visalia,CA,Circle,High,2 minutes,Red and white flashing lights flickering simultaneously in what appeared as a half circle. Moving south east.,1,"January 9, 2015"
1/8/15,Lincoln,NH,Changing,Low,1 minute,Four green lights appeared over the new construction behind the grocery store as we were driving home from dinner. They were in line wi,2,"January 9, 2015"
1/8/15,Ft. Myers,FL,Other,Mid,,Small object hovering inside cloud over blimp.,1,"January 16, 2015"
1/8/15,Driggs,ID,Light,Mid,20 minutes,Red lights flashing some in formation of a triangle 20 minute video.,1,"January 9, 2015"
1/8/15,Sonora,CA,Other,High,30 minutes,"Two star looking shapes in the eastern sky, while sun was coming up.  The third one came in between shooting toward earth.",1,"January 9, 2015"
1/8/15,North Phoenix,AZ,Disk,Mid,3 minutes,As I was taking my sick child to Mendys Place on 27th avenue off of the I17 near John C Lincoln on the exit ramp I noticed a saucer fla,2,"January 16, 2015"
1/8/15,New Palestine,IN,Triangle,Mid,,"Triangle UFO in New palestine, Indiana in the country.",1,"January 16, 2015"
1/8/15,Clementon,NJ,Light,High,20 minutes,Multiple strange flying objects.,1,"January 9, 2015"
1/7/15,Phoenix,AZ,Fireball,High,2-3 seconds,Green fireball.,1,"January 9, 2015"
1/7/15,Durham,NC,Diamond,Low,80 minutes,Diamond-shaped silent object hovers and passes overhead.,1,"January 9, 2015"
1/7/15,Edmonton (Canada),AB,Unknown,Mid,10 seconds,"Very often, we hear u.f.o. s make no sound af all, this one did.",3,"January 9, 2015"
1/7/15,Grand Rapids,MI,Unknown,Mid,13-20 seconds,"Unusual craft flying and wobbling fast, and a big red trapezoid-like light.",1,"January 9, 2015"
1/7/15,Westport,WA,Triangle,Mid,30 seconds,Triangular light formation traveling east,1,"January 9, 2015"
1/7/15,Carlsbad,CA,Fireball,High,2 minutes,"A red ball of fire flew directly over my car along the coast, where aircraft arn't permitted to fly at a speed of appx. 900 mph",1,"January 9, 2015"
1/7/15,Montara,CA,Diamond,Mid,2.5 minutes,Unidentified lighted diamond shaped blue glowing object zig zagging; then disappeared over San Mateo coast.,1,"January 9, 2015"
1/7/15,San Pedro,CA,Other,High,,"Saw a bright object in high clouds, not moving, reflected light, then moved toward left, went out of my view. several minutes.",1,"January 16, 2015"
1/7/15,Whitmore Lake,MI,Light,High,A few seconds,I saw a ball of white light that zoomed out of sight.,1,"January 9, 2015"
1/7/15,Montara,CA,Unknown,Mid,40 seconds,Unidentified object in Montara sky.,1,"January 9, 2015"
1/7/15,Lakeland,FL,Light,Mid,8 seconds,All of a sudden what I thought was an airplane in the distance was right in front of me with Blue & Red lights.,1,"January 9, 2015"
1/7/15,College Station,TX,Oval,High,1 minute,Bright white light in illuminating cloud in southern sky,1,"January 9, 2015"
